104,PG,M.A.,Economics,English
105,PG,M.A.,Telugu,Telugu
106,PG,M.A.,Political Science,English
107,PG,M.A.,Hindi,English
108,PG,M.A.,History,English
109,PG,M.A.,Sanskrit,Telugu
110,PG,M.A.,Sociology,English
111,PG,M.A.,Gender Studies,English
112,PG,M. Com,General,English
113,PG,M. Com,Computer Applications,English
114,PG,M. Com,Banking & Insurance,English
115,PG,M. Com,Financial Accounting,English
116,PG,M. Com,Computers,English
117,PG,Diploma,PGDCA,English
118,PG,M.C.J,Mass Communication and Journalism,English
119,PG,M.Li.Sc,Master of Library Science,English
120,PG,M.S.W,Master of Social Work,English
121,PG,M.T.M,Master of Tourism & Management,English
122,PG,MHRM,Master of Human Resource Management,English
123,PG,M.Sc.,Mathematics,English
124,PG,M.Sc.,Physics,English
125,PG,M.Sc.,Botany,English
126,PG,M.Sc.,Zoology,English
127,PG,M.Sc.,Chemistry,English
128,PG,M.Sc.,Microbiology,English
129,PG,M.Sc.,Bio Chemistry,English
130,PG,M.Sc.,Bio Technology,English
131,PG,M.Sc.,Computer Science,English
132,PG,M.Sc.,Management Information Technology,English
133,PG,M.Sc.,Nano Science & Nano Technology,English
134,PG,M.Sc.,Organic Chemistry,English
135,PG,M.Sc.,Statistics,English
136,PG,M.Sc.,Applied Mathematics,English
137,PG,M.Sc.,Geology,English
138,PG,M.Sc.,Psychology,English
139,PG,M.Sc.,P.G Diploma in Sericulture ,English
140,PG,M.Sc.,5 Years Integrated BIO-TECHNOLOGY,English
141,PG,M.Sc.,5 Years Integrated CHEMISTRY,English
142,PG,M.Sc.,5 Yrs Integrated PHARMACHEMISTRY,English
143,Engineering,B. Tech,Civil Engineering ,English
144,Engineering,B. Tech,Computer Science Engineering,English
145,Engineering,B. Tech,Electrical & Electronic Engineering,English
146,Engineering,B. Tech,Electronics & Communication Engineering,English
147,Engineering,B. Tech,Information Technology ,English
148,Engineering,B. Tech,Mechanical Engineering ,English
149,Engineering,B. Tech,Mining Engineering ,English
150,Engineering,B. Tech,Electronics & Instrumentation Engineering ,English
151,Engineering,M. Tech,Computer Science & Engineering ,English
152,Engineering,M. Tech,Power Electronics,English
153,Engineering,M. Tech,VLSI System Designing,English
154,Engineering,M. Tech,Design Engineering,English
155,Engineering,M. Tech,Digital Communications,English
156,Engineering,M. Tech,Software Engineering,English
157,Engineering,M. Tech,Structural & Construction Engineering,English
158,Engineering,M. Tech,VLSI & Embedded Systems,English
159,Engineering,M. Tech,CAD / CAM,English
160,Law,LL.B,3-YDC,English
161,Law,LL.B,5-YDC,English
162,Law,LL.M,Corporate Law,English
163,Law,LL.M,Intellectual Properties Law,English
164,Law,LL.M,Commercial Laws,English
165,Law,LL.M,Labour Laws,English
166,Law,LL.M,Criminal Laws,English
167,Law,LL.M,Human Right Laws,English
168,Pharmacy,B.Pharmacy,-,English
169,Pharmacy,M.Pharmacy,Pharmaceutics,English
170,Pharmacy,M.Pharmacy,Pharmaceutical Analysis,English
171,Pharmacy,M.Pharmacy,Drug Regulatory Affairs ,English
172,Pharmacy,M.Pharmacy,Industrial Pharmacy,English
173,Pharmacy,M.Pharmacy,Pharmaceutical Management and Regulatory Affairs,English
174,Pharmacy,M.Pharmacy,Pharmacy Practice ,English
175,Pharmacy,M.Pharmacy,Pharmacology ,English
176,Pharmacy,M.Pharmacy,Pharmacognosy,English
177,Pharmacy,M.Pharmacy,Industrial Pharmacy,English
178,Pharmacy,M.Pharmacy,Pharmaceutical Chemistry,English
179,Education,B. Ed.,-,English
180,Education,M. Ed.,-,English
181,Physical Education,B. P. Ed.,-,English
182,Physical Education,M. P. Ed.,-,English
183,M.B.A.,M.B.A.,-,English
184,M.C.A.,M.C.A.,-,English
185,Hotel Management,Hotel Management,-,English
